retweets,likes,Subjectivity,Polarity
5,0,0.0,0.0
223,0,0.0,0.0
794,0,0.4,-0.1
164,0,0.3,0.1
1499,0,0.4,-0.1
0,2,0.7,-0.0
328,0,0.0,0.0
14,0,0.4,-0.1
1499,0,0.4,-0.1
23,0,0.2,0.0
854,0,0.0,0.0
328,0,0.0,0.0
2570,0,0.0,0.0
2606,0,0.0,0.0
1499,0,0.4,-0.1
173,0,0.0,0.0
31,0,0.0,0.0
6,0,0.0,0.0
6,0,0.0,0.0
898,0,1.0,1.0
49,0,1.0,0.0
294,0,0.0,0.0
47,0,0.0,0.0
794,0,0.4,-0.1
5,0,0.4,-0.1
99,0,0.0,0.0
1,1,0.5,0.5
1,2,0.0,0.0
2570,0,0.0,0.0
254,0,0.0,0.0
1009,0,0.0,0.0
132,0,0.0,0.0
325,0,0.1,0.0
329,0,0.2,-0.1
7,0,0.0,0.0
225,0,0.0,0.0
0,1,0.0,0.0
76,0,0.0,0.0
23,61,0.4,0.1
4,0,0.6,0.6
14,0,0.4,-0.1
7,0,0.0,0.0
313,0,0.4,-0.1
1499,0,0.4,-0.1
328,0,0.0,0.0
2290,0,0.3,-0.2
2,0,0.4,-0.1
145,0,0.0,0.0
17,0,0.0,0.0
6,0,0.6,0.7
54,0,0.0,0.0
91,0,0.8,0.4
31,0,0.7,0.5
1499,0,0.4,-0.1
7,0,0.0,0.0
91,0,0.8,0.4
2606,0,0.0,0.0
31,0,0.0,0.0
328,0,0.0,0.0
10,0,0.0,0.0
95,0,0.0,0.0
1,0,0.0,0.0
302,0,0.0,0.0
10,0,0.1,0.0
371,0,0.0,0.0
0,2,0.3,0.3
0,50,0.0,0.0
2,3,0.4,-0.1
136,0,0.0,0.0
22,0,0.0,0.0
794,0,0.4,-0.1
0,4,0.0,0.0
14,5,0.4,-0.1
2570,0,0.0,0.0
6,0,0.0,0.0
7,44,0.0,0.0
1,3,0.0,0.0
10,0,0.0,0.0
22,0,0.0,0.0
10,0,0.0,0.0
1499,0,0.4,-0.1
2606,0,0.0,0.0
0,2,0.8,0.0
51,0,0.0,0.0
64,0,0.0,0.0
294,0,0.0,0.0
173,0,0.0,0.0
4,0,0.8,-0.2
794,0,0.4,-0.1
328,0,0.0,0.0
3,3,0.3,-0.0
364,0,0.0,0.0
18,15,0.1,0.0
382,0,0.0,0.0
8,0,0.0,0.0
31,0,0.0,0.0
771,0,0.4,-0.1
0,1,0.6,0.1
1009,0,0.0,0.0
1499,0,0.4,-0.1
1009,0,0.0,0.0
2570,0,0.0,0.0
854,0,0.0,0.0
164,0,0.3,0.1
898,0,1.0,1.0
47,0,0.0,0.0
1499,0,0.4,-0.1
0,2,0.5,-0.1
329,0,0.2,-0.1
0,1,0.5,0.5
1499,0,0.4,-0.1
6,0,0.0,0.0
794,0,0.4,-0.1
173,0,0.0,0.0
13,0,0.3,0.2
14,0,0.8,-0.1
34,41,0.0,0.0
325,0,0.1,0.0
83,0,0.0,0.0
22,0,0.0,0.0
58,0,0.0,0.0
6,3,0.0,0.0
1499,0,0.4,-0.1
2,0,0.0,0.0
4,0,0.0,0.0
7,0,0.0,0.0
0,1,0.3,-0.1
3,0,0.0,0.0
7,0,0.0,0.0
173,0,0.0,0.0
28,0,0.0,0.0
108,0,0.4,0.0
1,4,0.4,0.3
5,0,0.0,0.0
4,0,0.0,0.0
364,0,0.0,0.0
1499,0,0.4,-0.1
0,9,0.4,0.2
51,0,0.0,0.0
328,0,0.0,0.0
51,0,0.0,0.0
438,0,0.0,0.0
31,0,0.0,0.0
2,3,0.3,0.1
328,0,0.0,0.0
6,17,0.0,0.0
47,0,0.0,0.0
2606,0,0.0,0.0
1,1,0.0,0.0
31,0,0.0,0.0
40,0,0.8,0.6
0,1,0.8,1.0
189,0,0.5,-0.2
142,0,1.0,0.0
2,3,0.0,0.0
1499,0,0.4,-0.1
626,0,0.4,0.0
0,1,0.5,-0.0
225,0,0.0,0.0
31,0,0.0,0.0
108,0,0.4,0.0
1,0,0.0,0.0
794,0,0.4,-0.1
164,0,0.3,0.1
24,0,0.4,-0.1
1499,0,0.4,-0.1
1,1,0.0,0.0
302,0,0.0,0.0
302,0,0.0,0.0
1,0,0.0,0.0
313,0,0.4,-0.1
59,0,0.0,0.0
14,0,0.5,0.5
328,0,0.0,0.0
854,0,0.0,0.0
31,0,0.0,0.0
164,0,0.3,0.1
5,0,0.0,0.0
1,1,0.0,0.0
19,0,0.0,0.0
31,0,0.0,0.0
4,0,0.5,0.5
41,59,0.5,0.0
898,0,1.0,1.0
31,0,0.0,0.0
313,0,0.4,-0.1
2606,0,0.0,0.0
29,0,0.0,0.0
55,0,0.1,0.0
1,0,0.0,0.0
2570,0,0.0,0.0
3009,0,0.4,-0.1
382,0,0.0,0.0
98,0,0.0,0.0
132,0,0.0,0.0
22,0,0.0,0.0
66,0,0.5,0.5
83,0,0.0,0.0
771,0,0.4,-0.1
89,0,0.1,0.0
14,0,0.8,-0.1
22,0,0.0,0.0
28,0,0.0,0.0
2606,0,0.0,0.0
4,0,0.0,0.0
2606,0,0.0,0.0
0,1,0.3,0.0
16,0,0.0,0.0
218,0,0.5,0.1
66,0,0.5,0.5
34,0,0.0,0.0
17,0,0.0,0.0
854,0,0.0,0.0
2606,0,0.0,0.0
26,0,0.0,0.0
3009,0,0.4,-0.1
26,0,0.0,0.0
4,0,0.0,0.0
353,0,0.5,0.5
254,0,0.0,0.0
0,1,0.0,0.0
329,0,0.2,-0.1
44,0,0.0,0.0
0,1,0.9,0.8
2570,0,0.0,0.0
254,0,0.0,0.0
0,1,0.0,0.0
26,0,0.0,0.0
854,0,0.0,0.0
1499,0,0.4,-0.1
1499,0,0.4,-0.1
328,0,0.0,0.0
2570,0,0.0,0.0
8,0,0.3,-0.2
1499,0,0.4,-0.1
161,0,0.0,0.0
2570,0,0.0,0.0
173,0,0.0,0.0
